Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal
Oct-91,196021.00,221656.00,NA,98333.00,NA,NA,NA,NA,103695.00,NA,110714.00,92000.00,NA,NA,NA,209256.00,NA,342307.00,NA,113749.00,96666.00,NA,195624.00,185000.00,NA,229203.00,182500.00,NA,143245.00,135000.00,NA,137631.00,183088.00,275862.00,124500.00,175513.00,323750.00,229466.00,250000.00,238888.00,NA,NA,NA,190893.00,NA,NA,NA,89230.00,NA,232540.00,NA,NA,145610.00,209950.00,NA,NA,NA,NA,231509.00,NA
Nov-91,194192.00,221098.00,NA,120625.00,NA,NA,NA,NA,97499.00,NA,105000.00,92045.00,NA,NA,NA,202237.00,NA,367856.00,NA,180000.00,103571.00,NA,215000.00,200000.00,NA,234984.00,170560.00,NA,147576.00,130000.00,NA,132325.00,181639.00,282608.00,110455.00,188412.00,331666.00,257453.00,245980.00,249218.00,NA,NA,NA,190513.00,NA,NA,NA,98213.00,NA,228070.00,NA,NA,145230.00,209351.00,NA,NA,NA,NA,235118.00,NA
Dec-91,199452.00,228195.00,NA,124545.00,NA,NA,NA,NA,93947.00,NA,95000.00,89047.00,NA,NA,NA,222829.00,NA,355882.00,NA,141667.00,98928.00,NA,200000.00,183333.00,NA,239190.00,167500.00,NA,138861.00,135000.00,NA,134469.00,188817.00,279310.00,114285.00,189331.00,310606.00,217757.00,256250.00,240972.00,NA,NA,NA,197692.00,NA,NA,NA,91667.00,NA,227220.00,NA,NA,146520.00,211303.00,NA,NA,NA,NA,232916.00,NA
Jan-92,196410.00,212500.00,NA,122308.00,NA,NA,NA,NA,91364.00,NA,103333.00,85833.00,NA,NA,NA,213951.00,NA,346428.00,NA,131249.00,108124.00,NA,200000.00,188571.00,NA,222302.00,179370.00,NA,142836.00,134000.00,NA,136021.00,182978.00,267262.00,117999.00,218778.00,300000.00,214116.00,245060.00,255000.00,NA,111666.00,NA,193548.00,114166.00,NA,NA,95999.00,NA,225900.00,NA,NA,144790.00,204852.00,NA,NA,NA,NA,225647.00,NA
Feb-92,198220.00,213194.00,NA,128888.00,NA,NA,NA,NA,99642.00,NA,96111.00,89249.00,NA,NA,NA,207018.00,NA,293478.00,NA,137999.00,107142.00,NA,182500.00,194999.00,NA,220655.00,173330.00,NA,143202.00,135000.00,NA,135342.00,177884.00,268750.00,116999.00,222114.00,322807.00,247232.00,243370.00,247708.00,NA,75000.00,NA,195806.00,112857.00,NA,NA,100000.00,NA,221200.00,NA,NA,145280.00,214044.00,NA,NA,NA,NA,229372.00,NA
Mar-92,200500.00,222837.00,NA,115454.00,NA,NA,NA,NA,97571.00,NA,105000.00,95799.00,NA,NA,NA,218844.00,NA,364062.00,NA,143333.00,108124.00,NA,216666.00,200000.00,NA,230395.00,177500.00,NA,140770.00,132500.00,NA,134592.00,187428.00,272222.00,111786.00,175300.00,326190.00,249054.00,251680.00,247115.00,NA,76249.00,NA,198666.00,116086.00,NA,NA,102353.00,NA,222340.00,NA,NA,148830.00,217514.00,NA,NA,NA,NA,233112.00,NA
Apr-92,198700.00,226946.00,NA,122692.00,NA,NA,NA,NA,98225.00,NA,110714.00,91750.00,NA,NA,NA,211762.00,NA,315454.00,NA,145000.00,100667.00,NA,216304.00,189285.00,NA,226305.00,165310.00,NA,137915.00,133500.00,NA,138428.00,182727.00,281418.00,119444.00,175158.00,300000.00,240990.00,254670.00,258593.00,NA,75999.00,NA,198867.00,115714.00,NA,NA,96666.00,NA,228900.00,NA,NA,149190.00,220184.00,NA,NA,NA,NA,231791.00,NA
May-92,203420.00,221220.00,NA,117368.00,NA,NA,NA,NA,101636.00,NA,106875.00,87592.00,NA,NA,NA,204440.00,NA,350000.00,NA,138999.00,101500.00,NA,191000.00,185000.00,NA,237872.00,184740.00,NA,140051.00,132000.00,NA,136619.00,190481.00,277419.00,125357.00,180781.00,324609.00,227995.00,267120.00,243303.00,NA,85000.00,NA,205063.00,118999.00,NA,NA,98571.00,NA,221100.00,NA,NA,146540.00,217747.00,NA,NA,NA,NA,239576.00,NA
Jun-92,199460.00,229885.00,NA,122609.00,NA,NA,NA,NA,103400.00,NA,112173.00,87833.00,NA,NA,NA,211278.00,NA,342045.00,NA,120000.00,102857.00,NA,193500.00,189090.00,NA,229516.00,190000.00,NA,144141.00,133000.00,NA,133521.00,182937.00,288207.00,115909.00,196844.00,332692.00,253103.00,256010.00,235000.00,NA,82857.00,NA,207353.00,119486.00,NA,NA,90000.00,NA,219910.00,NA,NA,146990.00,218198.00,NA,NA,NA,NA,238395.00,NA
Jul-92,199150.00,222153.00,NA,115555.00,NA,NA,NA,NA,99827.00,NA,110000.00,92353.00,NA,NA,NA,221820.00,NA,350925.00,NA,126666.00,105000.00,NA,200833.00,203125.00,NA,225313.00,176250.00,NA,146234.00,132000.00,NA,137449.00,188218.00,275819.00,117727.00,185883.00,336315.00,240192.00,253540.00,243478.00,NA,101111.00,NA,195686.00,113600.00,NA,NA,95499.00,NA,234460.00,NA,NA,145590.00,216777.00,NA,NA,NA,NA,241488.00,NA
