,01-01-1990,01-02-1990,01-03-1990,01-04-1990,01-05-1990,01-06-1990,01-07-1990,01-08-1990,01-09-1990,01-10-1990,01-11-1990,01-12-1990,01-01-1991,01-02-1991,01-03-1991,01-04-1991,01-05-1991,01-06-1991,01-07-1991,01-08-1991,01-09-1991,01-10-1991,01-11-1991,01-12-1991,01-01-1992,01-02-1992,01-03-1992,01-04-1992,01-05-1992,01-06-1992,01-07-1992,01-08-1992,01-09-1992,01-10-1992,01-11-1992,01-12-1992,01-01-1993,01-02-1993,01-03-1993,01-04-1993,01-05-1993,01-06-1993,01-07-1993,01-08-1993,01-09-1993,01-10-1993,01-11-1993,01-12-1993,01-01-1994,01-02-1994,01-03-1994,01-04-1994,01-05-1994,01-06-1994,01-07-1994,01-08-1994,01-09-1994,01-10-1994,01-11-1994,01-12-1994,01-01-1995,01-02-1995,01-03-1995,01-04-1995,01-05-1995,01-06-1995,01-07-1995,01-08-1995,01-09-1995,01-10-1995,01-11-1995,01-12-1995,01-01-1996,01-02-1996,01-03-1996,01-04-1996,01-05-1996,01-06-1996,01-07-1996,01-08-1996,01-09-1996,01-10-1996,01-11-1996,01-12-1996,01-01-1997,01-02-1997,01-03-1997,01-04-1997,01-05-1997,01-06-1997,01-07-1997,01-08-1997,01-09-1997,01-10-1997,01-11-1997,01-12-1997,01-01-1998,01-02-1998,01-03-1998,01-04-1998,01-05-1998,01-06-1998,01-07-1998,01-08-1998,01-09-1998,01-10-1998,01-11-1998,01-12-1998,01-01-1999,01-02-1999,01-03-1999,01-04-1999,01-05-1999,01-06-1999,01-07-1999,01-08-1999,01-09-1999,01-10-1999,01-11-1999,01-12-1999,01-01-2000,01-02-2000,01-03-2000,01-04-2000,01-05-2000,01-06-2000,01-07-2000,01-08-2000,01-09-2000,01-10-2000,01-11-2000,01-12-2000,01-01-2001,01-02-2001,01-03-2001,01-04-2001,01-05-2001,01-06-2001,01-07-2001,01-08-2001,01-09-2001,01-10-2001,01-11-2001,01-12-2001,01-01-2002,01-02-2002,01-03-2002,01-04-2002,01-05-2002,01-06-2002,01-07-2002,01-08-2002,01-09-2002,01-10-2002,01-11-2002,01-12-2002,01-01-2003,01-02-2003,01-03-2003,01-04-2003,01-05-2003,01-06-2003,01-07-2003,01-08-2003,01-09-2003,01-10-2003,01-11-2003,01-12-2003,01-01-2004,01-02-2004,01-03-2004,01-04-2004,01-05-2004,01-06-2004,01-07-2004,01-08-2004,01-09-2004,01-10-2004,01-11-2004,01-12-2004,01-01-2005,01-02-2005,01-03-2005,01-04-2005,01-05-2005,01-06-2005,01-07-2005,01-08-2005,01-09-2005,01-10-2005,01-11-2005,01-12-2005,01-01-2006,01-02-2006,01-03-2006,01-04-2006,01-05-2006,01-06-2006,01-07-2006,01-08-2006,01-09-2006,01-10-2006,01-11-2006,01-12-2006,01-01-2007,01-02-2007,01-03-2007,01-04-2007,01-05-2007,01-06-2007,01-07-2007,01-08-2007,01-09-2007,01-10-2007,01-11-2007,01-12-2007,01-01-2008,01-02-2008,01-03-2008,01-04-2008,01-05-2008,01-06-2008,01-07-2008,01-08-2008,01-09-2008,01-10-2008,01-11-2008,01-12-2008,01-01-2009,01-02-2009,01-03-2009,01-04-2009,01-05-2009,01-06-2009,01-07-2009,01-08-2009,01-09-2009,01-10-2009,01-11-2009,01-12-2009,01-01-2010,01-02-2010,01-03-2010,01-04-2010,01-05-2010,01-06-2010,01-07-2010,01-08-2010,01-09-2010,01-10-2010,01-11-2010,01-12-2010,01-01-2011,01-02-2011,01-03-2011,01-04-2011,01-05-2011,01-06-2011,01-07-2011,01-08-2011,01-09-2011,01-10-2011,01-11-2011,01-12-2011,01-01-2012,01-02-2012,01-03-2012,01-04-2012,01-05-2012,01-06-2012,01-07-2012,01-08-2012,01-09-2012,01-10-2012,01-11-2012,01-12-2012,01-01-2013,01-02-2013,01-03-2013,01-04-2013,01-05-2013,01-06-2013,01-07-2013,01-08-2013,01-09-2013,01-10-2013,01-11-2013,01-12-2013,01-01-2014,01-02-2014,01-03-2014,01-04-2014,01-05-2014,01-06-2014,01-07-2014,01-08-2014,01-09-2014,01-10-2014,01-11-2014,01-12-2014,01-01-2015,01-02-2015,01-03-2015,01-04-2015,01-05-2015,01-06-2015,01-07-2015,01-08-2015,01-09-2015,01-10-2015,01-11-2015,01-12-2015,01-01-2016,01-02-2016,01-03-2016,01-04-2016,01-05-2016,01-06-2016,01-07-2016,01-08-2016,01-09-2016,01-10-2016,01-11-2016,01-12-2016,01-01-2017,01-02-2017,01-03-2017,01-04-2017,01-05-2017,01-06-2017,01-07-2017,01-08-2017,01-09-2017,01-10-2017,01-11-2017,01-12-2017,01-01-2018,01-02-2018,01-03-2018,01-04-2018,01-05-2018,01-06-2018,01-07-2018,01-08-2018,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019,01-10-2019,01-11-2019,01-12-2019,01-01-2020,01-02-2020,01-03-2020,01-04-2020,01-05-2020,01-06-2020,01-07-2020,01-08-2020,01-09-2020,01-10-2020,01-11-2020,01-12-2020,01-01-2021,01-02-2021,01-03-2021,01-04-2021,01-05-2021,01-06-2021,01-07-2021,01-08-2021,01-09-2021,01-10-2021,01-11-2021,01-12-2021,01-01-2022,01-02-2022,01-03-2022,01-04-2022,01-05-2022,01-06-2022,01-07-2022,01-08-2022,01-09-2022,01-10-2022,01-11-2022,01-12-2022,01-01-2023,01-02-2023,01-03-2023,Average
Mono,93291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833333,937499,666666,656249,687499,729166,1000000,791667,400000,1062500,825000,875000,750000,450000,791667,781250,791667,500000,625000,625000,625000,750000,750000,625000,750000,875000,750000,825000,1125000,708333,450000,583333,750000,500000,1000000,625000,708333,583333,625000,791667,1125000,1062500,450000,625000,625000,625000,562500,450000,812500,625000,875000,500000,875000,687499,604166,500000,750000,450000,625000,487499,625000,1250000,625000,625000,666666,583333,400000,333333,500000,500000,750000,450000,625000,562500,1125000,474999,541667,450000,583333,500000,350000,374999,362499,357142,500000,541667,500000,525000,625000,483333,450000,593750,350000,416667,325000,462499,400000,300000,425000,387499,450000,400000,708333,333333,500000,450000,400000,474999,625000,474999,450000,474999,575000,687499,500000,474999,450000,483333,350000,625000,583333,937499,562500,562500,450000,687499,450000,550000,550000,599000,548000,995000,475000,282450,580000,316500,585000,664250,534600,532500,465000,379000,618750,528500,526750,520880,1022500,516250,627500,482850,578000,386500,632500,715000,400000,515000,480000,830000,780000,520000,852500,570000,899500,880000,622500,599900,725000,541000,782000,765000,800000,717250,564500,910000,692500,712500,699750,725000,556000,400000,780000,700000,665000,801250,520150,720000,669500,665000,875000,844500,806000,880000,1112500,1435000,1700000,974000,1140000,822500,805000,819500,844500,840000,840000,972500,950000,992500,1100000,2362500,870000,788500,815000,797500,1105000,960000,870000,765000,1125500,802500,750000,666585.9455
Monterey,233333,187856,230555,238095,259375,190833,196363,208823,192000,192727,209091,200000,209615,222500,193333,235000,222580,189230,227778,216071,181667,195624,215000,200000,200000,182500,216666,216304,191000,193500,200833,188999,193333,186470,187646,193333,185000,209615,219642,203676,196428,195833,218749,189285,209722,180833,200000,198285,222499,214772,218749,204167,195000,198333,223749,230682,202500,210227,190000,238750,214583,230000,215908,210714,204412,203947,210000,217592,222115,200000,198999,197499,212500,223749,212500,218749,225000,231250,235344,228030,205435,243181,221249,229167,251786,232291,223809,268333,223809,252000,237500,277083,245370,272058,247825,230263,248332,242499,247825,248484,260294,245624,256034,254839,256250,251852,275000,234459,304500,235000,261000,270000,267500,269750,329000,288000,314500,337000,320000,278000,320000,355000,363750,375000,340000,330000,350000,309000,324000,382000,340000,366500,352000,358950,335000,340000,352500,340000,375000,350000,380000,345000,350000,350000,365000,400000,366000,358550,367500,400000,366500,395000,398000,382500,375000,365000,409000,369900,396500,425000,415000,417000,445000,470000,460000,450000,457000,465000,485000,470000,500000,550000,565500,577000,564750,555000,575000,578950,597000,589975,620000,637500,610000,626000,635000,679000,695000,689555,679000,675000,680000,690000,699000,700000,685000,679000,685000,685000,659000,665000,679000,659000,660000,656000,664000,650000,664500,760000,695000,719000,685000,777000,672950,620000,590000,584500,505000,500000,430000,399900,358000,359900,324000,302000,280000,285000,275000,255000,230000,210000,217000,212000,203500,205000,230000,235000,230000,240000,245000,250000,246500,255000,245000,262000,280000,274000,270000,270000,249950,275000,244000,235000,251850,231000,255900,255000,250000,285000,250000,252000,280000,266000,270000,275000,280000,265000,314900,280000,295000,289000,280750,317500,330000,315000,323100,346500,339500,315000,359900,380000,410000,417000,408800,407000,422500,412000,420000,438500,428500,500000,521250,451500,445000,485000,445000,492500,451000,460000,460000,430000,420000,500000,510000,455000,530000,485000,479500,470000,480000,486000,512500,520000,500000,497980,490000,529900,540000,537000,539750,515000,566500,499900,515000,497000,572500,535000,562450,569000,617000,624500,629000,580500,569900,575000,618120,614000,571500,590000,625000,607750,677000,632500,655500,599000,624000,620000,630000,590000,590000,593950,579000,600000,639000,640500,651780,632500,658000,643280,720000,613250,649500,700000,680000,660000,650000,740000,749500,832500,860000,850000,850000,785000,860000,820000,931000,840000,887000,862500,828500,827500,826250,865250,830000,871000,875000,885000,911000,903500,900500,854000,924000,842500,822500,865000,819500,775000,850000,775500,900000,424247.7719
Napa,178888,186363,180000,158571,187692,177332,184166,172499,177499,197777,189090,185000,168333,170000,165555,185000,181000,186666,187272,185384,210000,185000,200000,183333,188571,194999,200000,189285,185000,189090,203125,185714,186666,192222,188333,173749,177999,188750,174999,185000,187777,194285,187143,177332,186250,167500,182500,197999,188888,178420,180000,178332,197142,192857,225000,187272,182222,178332,176666,184000,173999,184000,176666,186666,190000,188888,196666,177499,200000,177856,174999,198332,185000,170000,180000,171538,175293,173333,225000,192222,201471,180000,182000,178888,194999,170000,186250,203947,228947,201923,199230,211666,208333,177646,199166,211363,210714,216071,210000,207353,213636,209524,222727,143000,228571,219000,214285,218181,218750,212500,233823,246153,235714,251316,300000,248484,269230,260000,281818,289999,270833,270000,297058,284374,317742,297221,298332,295832,334091,314815,322916,300000,335294,301923,315000,326000,355263,329032,304762,342647,384090,325000,371428,337931,343750,335714,351020,365999,389188,424193,386956,388775,393902,395237,398717,401923,462499,410714,440384,482608,437037,453703,457692,486206,488234,474999,483928,458064,457142,469444,492707,533784,557065,566666,541667,562500,518229,577830,602500,606854,582386,641304,634999,639705,641790,668478,695422,669752,695454,652272,651442,662499,699218,661290,687499,696808,661458,691489,710226,729166,651595,664062,679347,619186,654166,685184,705882,722221,659090,696428,704545,673386,572368,640624,618750,557692,500000,569444,489999,492104,494736,452941,456818,455882,415909,419047,389473,393477,387499,318182,351351,350000,362121,385713,369642,337096,355555,377272,402381,364999,358695,336842,351562,343750,367390,390322,391666,394230,347830,344740,334620,350000,313890,354760,332610,306820,377270,350000,334780,354760,331820,330430,339470,344830,344740,348000,351470,363890,343750,357410,419230,385710,381670,426190,378200,360340,411110,468180,430950,453850,488890,509620,511900,565970,477270,497730,528410,476000,535000,472000,536750,531950,587500,529000,599000,525000,601139,539000,619500,497500,495000,480000,554750,635000,582500,609000,630000,590000,617500,655000,689400,595500,584500,650000,650000,629980,645770,619000,634380,625000,650000,618250,637500,605000,662500,660000,675000,685000,673250,685000,695000,654000,632500,649000,682000,688000,662000,713500,675000,682500,702500,740000,727000,752500,685000,709500,683500,725000,672500,625000,699000,705000,725000,705750,685000,699000,787500,735000,669000,765000,697500,659500,764000,750000,672500,725000,782500,867000,900000,749380,824500,842000,835000,931500,929000,950000,837500,955500,939000,900000,950000,850000,811600,1050000,884000,1005000,965000,1027000,1048500,975000,1107500,1162500,987000,975000,1050000,824000,790000,830000,890000,453869.995
Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229166,220238,238888,262500,242423,266176,256250,263970,262838,239422,257895,255882,264285,269444,257143,273214,277083,289843,293420,287142,301724,289814,328571,343181,330000,279999,306667,295312,321875,317647,320833,304167,337500,298863,322000,327941,310000,313889,334375,373469,367021,364925,368115,390565,388541,374545,367856,392307,410714,405172,409615,419643,460344,489062,441666,463235,467441,500000,452631,479411,456249,473809,476315,466666,453846,476086,452777,411364,454999,428125,454761,464999,455555,415384,428571,457692,471153,440000,434210,389654,437500,425000,434615,407692,395454,384999,392499,400000,373683,369565,373529,350000,335714,298610,333333,321428,316667,288888,283333,300000,320833,300000,314286,284615,294999,272916,268750,276666,256250,261111,270454,263333,272058,275000,269117,293749,271153,242646,277272,247499,236538,228124,211363,208333,252941,226562,222368,210000,225000,214285,235416,226249,205263,205263,240475,188000,223863,267045,232352,231481,233333,237962,233333,258823,257353,248213,248528,272222,265909,269827,298076,316667,298528,310714,279999,310526,268181,305263,326923,315217,277941,316130,303448,338890,306250,315520,309370,314290,339290,320000,330360,336760,340620,341300,321000,325000,339900,330500,341250,350000,339500,295950,364900,327500,354000,352000,359000,343000,348700,360000,358500,355000,366500,390000,383750,424000,389000,380000,398500,375000,410000,388500,405750,393500,382000,400000,430000,408738,404000,452000,419500,420000,445000,401500,399000,389950,402950,382000,412500,397000,420000,427500,445000,415500,399000,419500,458500,400000,367000,420000,425000,460000,410000,433750,500000,475000,478750,492500,466250,508000,525000,519500,530000,555000,563250,566000,570000,570950,549500,525000,561250,520000,550000,547500,559000,617000,560000,590000,595000,580000,562500,532500,526000,520000,470000,475000,539500,364228.5169
Orange,231274,233656,242312,239380,256401,244364,236109,234908,226250,229612,227481,228532,226793,226398,234877,235078,240532,237573,237555,236437,235668,229203,234984,239190,222302,220655,230395,226305,237872,229516,225313,228781,224886,221800,221394,226063,213494,210186,213593,207998,216383,214806,212721,215264,213516,208687,215247,213688,195031,192535,208442,213069,209323,210071,207867,210148,209062,206926,207002,215705,194868,193072,207615,200782,209993,210229,207634,205658,207355,202791,204003,207967,198007,202138,200987,210447,216546,216249,205538,212797,215228,207656,211769,217044,205510,202300,216160,218105,226618,231864,222762,229421,230404,229978,235444,238972,230399,231475,242669,245336,263221,266929,264942,272197,263871,258001,258526,266550,255424,260759,273730,270013,275251,282648,279442,283227,280882,276406,284027,284860,290674,297649,302710,317235,324188,323648,318267,324695,326737,321810,316773,322046,326470,328904,346730,348414,355043,355252,359110,367695,356230,356688,356335,360836,362007,369821,379278,392999,409177,428608,430239,432768,428988,429023,427126,428313,442753,447885,448596,464216,469925,482421,496519,527881,523794,529128,533837,546527,580922,594234,623176,660914,681597,671215,661942,652906,647908,631213,636389,635446,643196,669986,682390,697797,712647,718651,723003,732765,722383,724306,712873,719619,723740,741135,747820,749125,746768,749697,731386,727182,721582,708692,720943,714820,709692,723815,730381,763841,740400,775424,740195,740541,714887,699012,695312,656441,630656,621982,601890,592488,575532,563959,545120,524594,502647,497642,462226,453524,442168,456989,463003,461032,496268,522750,526670,539980,541089,526842,547495,544300,527477,533805,550420,546050,555800,566508,568970,561900,557390,519140,541220,499810,511590,496540,523610,530140,544700,534680,551510,508910,500000,484390,487610,484630,483510,485380,485300,513950,538340,567910,551160,567710,561830,558680,565020,582930,566500,607230,619430,653740,655630,661740,675000,664580,672680,660080,660890,677660,653850,677700,675540,679820,698260,696680,695270,699430,696190,692390,689480,683490,674340,680290,696060,705190,717850,716730,720000,714380,705000,700000,705000,700000,699900,705000,720200,735000,731750,754000,734000,749000,739000,750000,734500,745000,740000,745000,760000,775000,795000,795000,785000,789000,799000,786000,785000,785500,780000,805380,824450,818000,838000,835500,829000,838500,825000,810000,795000,785000,796500,792500,809500,825000,845000,842000,839450,810000,830000,820000,822000,840000,855000,880000,882000,861000,834550,870000,880000,930000,915000,930000,930000,950000,971000,995000,1025000,1100000,1100000,1138000,1090000,1100000,1100000,1120000,1150000,1182500,1195000,1260000,1305000,1325000,1295000,1265000,1231000,1200000,1200000,1165000,1100000,1131760,1194500,1159000,1250000,541270.6566
Placer,182220,182630,179470,200000,194610,187600,183890,205450,189170,185710,207890,184000,180000,172730,170910,180000,171050,187270,182220,182140,171670,182500,170560,167500,179370,173330,177500,165310,184740,190000,176250,185000,165560,169050,171250,162630,174170,154610,175000,160000,172380,170880,169120,182220,176800,168260,166000,165850,173333,157999,162353,167179,160556,177777,171818,171922,170666,155714,155624,162727,168235,157142,163750,151538,165909,173333,169655,167500,163333,155199,160000,161053,156190,165555,157916,167500,163043,168400,160909,164762,151249,165833,158181,166521,173333,149000,153928,164815,164762,172580,175516,171785,170000,169333,160000,174333,154999,164166,165937,172666,170000,182000,178399,186829,177221,177499,177930,180606,189200,183448,199332,185000,185384,201351,200633,193999,193408,197036,201812,209615,197726,199285,215948,228076,224450,219932,219256,227222,223275,231849,237856,235833,241802,241666,255385,263021,243181,257422,243975,270833,260185,255208,262222,259914,258750,271875,266791,267187,287375,292592,289150,307727,292582,294185,308163,297618,296773,289178,299241,301304,315546,350961,334589,348351,346010,346428,353543,349382,366128,352912,387058,396052,407391,415671,430195,416887,429109,423529,436904,435227,447159,451704,473397,479084,470293,489130,483765,527995,500735,495630,494381,488461,466847,467762,497008,477221,480113,478076,487244,467326,454347,451190,456666,441379,440196,454838,461594,461999,445977,455882,451973,431060,426613,410484,381176,375280,363767,360848,374336,365579,356883,358999,354827,346575,339597,325000,321428,318571,286573,308088,292987,294033,301648,293499,299037,309259,294010,294999,317708,288999,287287,287890,291565,295380,284090,285879,288186,293580,282594,286231,269805,271875,262778,268852,254268,270482,255488,267134,265200,264690,263020,255900,258930,253460,259560,251450,267470,276150,275000,287630,291670,288030,308590,300440,306590,300420,292710,312090,322560,354370,353110,370240,372220,361830,365290,364150,361160,361150,360980,370090,367190,375160,383070,382970,381040,388720,384850,380170,369490,387500,375980,375380,383330,394570,403420,402870,395000,403000,390000,397500,397750,395000,405000,417000,405000,429500,427000,430000,435000,430000,430240,436000,427000,425000,425000,435000,440000,460000,460000,472000,453000,462000,450000,455000,450000,451500,446000,472370,475500,489000,499650,510000,495000,475000,475000,470000,461000,492990,479000,495000,475000,498500,514900,525000,496250,500000,495000,505000,489800,495000,493000,509000,500000,510000,515000,515000,550000,538750,530000,548000,552650,559000,581000,599500,610000,625000,663450,670500,650000,643750,650000,649000,650000,655000,670000,675000,701730,717000,735000,720000,712450,650000,645000,645000,620000,622500,625000,633750,641000,332978.7569
Plumas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270000,250000,259000,249000,246000,118000,207500,231500,189000,230250,217500,278570,259380,255000,200000,233330,275000,180000,241670,212500,205000,300000,250000,248000,267500,264760,213500,264500,342000,269000,225000,277000,225000,270000,245000,275000,278500,215000,266000,230000,300250,210000,565000,239000,285000,297000,325000,325000,275000,320000,302000,256000,265950,261500,353000,280250,310000,290000,290000,292250,265000,310000,289500,262950,308240,258500,287500,395000,350500,340000,280000,345000,380000,275000,275000,270500,330000,321500,287500,252500,269000,305000,350000,392000,412000,385000,385000,305000,315000,329500,385000,400000,423000,395000,454500,397500,397000,470000,380000,420000,460000,339000,391500,350000,504000,400000,462500,380000,475000,442500,375000,395000,350000,305000,310000,307559.5652
Riverside,136832,136021,135835,134629,140823,139952,143127,143827,144070,139775,141311,139513,137571,134639,137607,134524,139903,141512,145495,147167,150449,143245,147576,138861,142836,143202,140770,137915,140051,144141,146234,142937,146806,141659,143193,138243,131548,137424,136932,131012,139332,140435,143932,140213,137652,135953,138110,134093,132347,136216,129582,129293,130624,132175,134878,130694,134489,130106,131497,129609,131987,124780,120319,126465,119391,123741,125336,124717,122114,122879,125909,120613,123441,114367,114996,117551,118500,124034,120010,122335,123204,116999,121391,119396,115047,117887,114835,114845,120155,122662,125145,126744,132009,127317,131273,121690,121908,129529,127575,123634,135223,125352,134728,129311,131600,131164,131690,121000,127189,123456,132576,135943,132275,138817,148392,144128,146455,142368,146715,136326,147298,152577,146922,144394,158249,154360,155636,162584,163774,162780,170758,162607,155660,161846,164951,171052,179847,184446,178279,181035,195097,178825,187220,183627,179024,184715,192422,196304,200086,208197,211339,211282,213328,212534,225378,218657,214921,225289,236698,241805,247092,258848,258106,268839,265837,269961,271739,277239,289300,294726,320268,337889,355008,360410,355184,353747,359848,351315,355857,364932,366979,373921,382634,389406,396899,413143,408902,407614,414224,405780,419174,411329,413165,416125,424531,415180,425142,431713,421806,426626,422759,408086,413808,427333,406405,422695,423302,419231,424242,416084,402222,402041,381867,361872,347857,345597,320159,315052,298186,291496,277072,269213,248427,237780,229125,221870,210721,201751,189903,184677,180043,171480,171673,178919,184261,183164,183497,186257,194999,191344,193687,198129,201104,209530,213060,214335,212570,208120,209660,205150,199340,205220,197550,203640,201520,199230,200000,202910,200910,202060,199890,195760,200080,203650,196050,200730,211350,213950,213240,219850,223740,227740,228900,230730,239610,251520,244780,245830,263670,274420,282560,298470,294300,290030,293560,296640,306350,310020,314070,302370,310670,309240,323890,321840,319960,318640,316500,321750,320880,322020,306060,323220,331710,333520,332490,337380,335000,335000,329000,330000,330000,341000,328000,330000,350000,350000,355000,360000,359900,355000,352250,355950,352500,360000,357500,367250,375000,379000,375000,385000,385500,388500,385700,382500,383000,385000,397250,396250,398000,400000,409920,405000,408000,400750,405950,400000,400000,398000,400000,410000,412000,423000,420000,420000,420000,420000,429450,420000,425000,420000,415460,428000,435000,435000,434480,450000,462000,486500,480000,485000,490000,488250,495500,519500,535000,545500,560000,575000,570000,570000,570000,580000,586900,586000,590000,605030,620000,630000,650000,645000,625000,620000,600000,599990,580000,575000,585000,595000,612000,270719.6266
Sacramento,123000,126900,127500,135500,138000,142000,145000,142000,139000,136700,135500,130000,130700,131000,137000,140000,139000,136800,140000,139900,135000,135000,130000,135000,134000,135000,132500,133500,132000,133000,132000,132000,131200,130000,130000,132500,129200,125500,130000,130000,131310,125600,132000,126500,125000,128000,124900,126000,125000,124000,129700,126500,128750,122000,129000,124000,118000,121000,122000,122000,119750,120000,120000,116775,115000,119990,121000,122000,120000,120000,119000,115000,111950,111000,117000,117000,118000,115000,117950,115000,115000,115000,110230,110000,113000,111090,117000,110000,116000,120000,122500,117000,115950,114000,116500,115000,114745,113000,118250,125000,129025,125652,126750,126000,125285,127340,116135,135137,120000,125298,129393,131576,131370,132135,131367,133231,135975,131481,134438,132652,132317,129354,135284,138234,142407,145424,149116,149339,149967,149878,152972,149827,152052,163600,166875,172235,172235,179270,177017,177911,174398,175513,177342,178283,179385,182840,187196,195953,206486,216613,214482,221107,225553,223006,225000,226899,227403,228820,233451,236293,241465,251913,247410,255152,256165,257440,260013,267320,262213,277821,286999,296331,306230,320803,322289,328407,335276,337783,345940,347828,346229,351905,357356,369765,379792,381993,387812,394450,383921,383284,379928,379012,372901,378674,376006,374356,381921,384244,377765,378177,369404,366945,365118,363170,359911,374109,362999,361882,356104,351617,346217,332509,325550,309362,299237,285139,258230,258680,258458,235942,233229,220633,219147,220894,195902,196917,184762,181655,167967,168100,168652,167355,179027,179938,181908,188828,180496,185891,185463,186695,173305,176586,180388,182155,189113,194266,185217,184180,180680,178871,181383,177159,169838,167633,167457,168378,166243,165329,168090,166680,164120,163160,164700,161840,161080,163530,166760,168820,169230,172520,176500,184000,180830,189800,194700,195630,201010,203540,220590,221880,243660,247100,254550,257660,255390,253560,246900,250370,242510,260330,263810,267260,273970,271630,276190,272750,276960,270150,266260,269350,256670,283960,282080,283600,293480,295310,291000,290000,290700,290000,290000,296500,281000,299000,305000,309000,317950,329000,320000,323500,317500,320000,325000,314940,305000,324900,326750,326000,342100,347000,353000,348000,347750,349900,349900,350000,350000,350000,365000,369000,375000,375000,370000,369950,372000,360000,365000,364500,352250,360000,365000,385000,385000,390000,390000,386000,385000,385000,385000,385000,379000,398500,400000,400000,395000,417000,422740,425000,439000,440000,442500,442250,450000,463000,485000,490000,500000,525000,514000,515000,507000,510000,515000,515000,524000,541500,560000,570000,580000,560000,550000,535000,520000,512500,510000,485000,498000,499000,500000,244364.609
San Benito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259375,232499,261666,252500,244827,282812,268333,253125,270312,277380,274000,270454,335714,300000,294696,315384,359999,348571,336111,373809,345000,379166,355555,365714,365517,377499,361764,367391,379411,355263,365384,350000,388094,369999,358695,342105,355555,356666,368333,362499,384999,372618,369767,369117,385713,377940,378124,397499,393749,379031,371738,381578,378378,412000,397058,393242,388749,418000,436363,433333,413333,438000,472580,484146,477585,500000,497367,557432,524193,531250,561111,589285,610576,625000,637755,655555,671195,620000,625000,605000,590000,610000,648500,650000,640000,600000,600000,632500,635000,623950,584900,599900,574500,592500,570000,599900,595000,591500,595000,589975,627500,627500,532000,560000,525000,450000,417000,417000,411000,370000,359900,402450,335000,309000,320000,312500,320250,275000,299950,276950,265000,255000,258500,250000,251579,273950,239000,272500,270000,273000,295000,260000,325000,279540,275610,333000,296500,315000,265000,280000,274000,250000,283450,279900,279000,285000,247500,261000,275000,249000,242500,239900,272500,268000,245000,259200,260000,255500,232350,287450,275000,261900,272000,335000,311000,280000,365000,364480,310500,330000,348000,358000,355000,382620,400000,387000,428950,397500,380000,410000,404000,399000,418000,430000,417500,420000,415000,415000,424000,435000,431000,435000,435000,450000,474900,465000,444990,479000,450000,460000,466000,487500,512500,452500,480000,464500,495000,479000,479000,511500,485000,538380,527500,506000,503090,475000,550000,517500,525000,521000,520000,535000,535000,600000,508500,545000,649880,537000,555000,545000,586670,569217,579900,570400,626500,575000,562000,597000,583200,577000,595000,600000,610000,550900,600000,585500,570000,609950,610410,604940,595000,600000,575020,595000,605000,614950,660500,586400,675000,625000,687000,634000,665590,729500,695000,700000,765000,722500,810000,794690,781000,774510,792500,768000,800000,790000,842500,860000,835000,860000,840000,854000,825000,755000,750000,761000,667390,765000,719000,730000,750000,466757.4467
